ID;m/z;RT/min;Identity;Formula
501;230.1167;13.5;Sebuthylazine;C9H16ClN5
131;404.1241;13.55;Azoxystrobin;C22H17N3O5
110;228.12774;13.6;Ametryn;C9H17N5S
479;230.1167;13.6;Propazine;C9H16ClN5
52;226.12264;13.65;2-Methyl-N-(4-methylphenyl)benzamide;C15H15NO
129;198.18524;13.7;Azacyclotridecan-2-one;C12H23NO
143;310.19139;13.7;Benzydamine;C19H23N3O
527;515.24415;13.7;Telmisartan;C33H30N4O2
255;734.46852;13.71;Erythromycin;C37H67NO13
622;355.154;13.78;(2S)-Isoxanthohumol;C21H22O5
530;226.16624;13.78;Terbumeton;C10H19N5O
145;239.10666;13.8;Benzylcinnamate;C16H14O2
11;225.19614;13.82;1,3-Dicyclohexylurea;C13H24N2O
229;276.08195;13.82;Dimethenamid;C12H18ClNO2S
532;230.1167;13.82;Terbuthylazine;C9H16ClN5
566;249.20604;13.89;Tri(propylene glycol) butyl ether;C13H28O4
375;326.08548;13.9;Midazolam;C18H13ClFN3
471;313.19105;13.9;Praziquantel;C19H24N2O2
376;266.16517;13.91;Mirtazapine;C17H19N3
562;311.22169;14.08;trans-EKODE-(E)-Ib;C18H30O4
254;171.13796;14.09;Epsilon-Decalactone;C10H18O2
487;351.19307;14.1;Pyrethrin I;C21H28O3
277;382.97271;14.11;Fluopicolide;C14H8Cl3F3N2O
524;327.00811;14.11;TCPP;C9H18Cl3O4P
239;256.16959;14.13;Diphenhydramine;C17H21NO
584;455.29043;14.2;Verapamil;C27H38N2O4
230;388.13101;14.21;Dimethomorph;C21H22ClNO4
3;283.16689;14.25;(S)-Dibutyl 3-hydroxybutyl phosphate;C12H27O5P
31;250.11862;14.4;2,4,6-Triallyloxy-1,3,5-triazine;C12H15N3O3
194;267.18557;14.5;Cyclizine;C18H22N2
565;372.15856;14.5;Trazodone;C19H22ClN5O
623;289.22744;14.6;Bupivacaine;C18H28N2O
224;415.1686;14.6;Diltiazem;C22H26N2O4S
185;293.10513;14.7;Climbazole;C15H17ClN2O2
397;212.20089;14.7;N-Ethyl-4-menthane-3-carboxamide;C13H25NO
466;286.14377;14.7;Piperine;C17H19NO3
491;384.17402;14.7;Quetiapine;C21H25N3O2S
420;236.10796;14.75;Octhilinone;C11H19NOS
476;242.14339;14.77;Prometryn;C10H19N5S
265;331.03994;14.8;Fenarimol;C17H12Cl2N2O
392;734.46852;14.8;N-Desmethyl Clarithromycin;C37H67NO13
383;202.21654;14.83;N,N-Dimethyldecylamine oxide;C12H27NO
274;364.07374;14.87;Flufenacet;C14H13F4N3O2S
267;337.22744;14.9;Fentanyl;C22H28N2O
442;296.14118;14.94;Pethoxamid;C16H22ClNO2
535;242.14339;14.97;Terbutryn;C10H19N5S
180;344.23325;15.0;Cinchocaine;C20H29N3O2
504;306.08108;15.0;Sertraline;C17H17Cl2N
183;748.48417;15.01;Clarithromycin;C38H69NO13
192;327.1371;15.03;Clozapine;C18H19ClN4
365;284.14118;15.03;Metolachlor;C15H22ClNO2
332;329.16821;15.08;Levomepromazine;C19H24N2OS
434;229.08592;15.08;Oxybenzone;C14H12O3
586;235.16926;15.1;Walleminone;C15H24O3
546;494.32986;15.14;Tiamulin;C28H47NO4S
184;764.47908;15.2;Clarithromycin-N-oxide;C38H69NO14
18;295.22677;15.4;13-Keto-9Z,11E-octadecadienoic acid;C18H30O3
467;431.28054;15.4;Piritramide;C27H34N4O
232;327.17032;15.41;Dimoxystrobin;C19H22N2O3
624;198.18524;15.44;1-Octylpyrrolidin-2-one;C12H23NO
32;244.22765;15.49;TMDD;C14H26O2
659;385.23734;15.5;Megestrol acetate;C24H32O4
625;340.15433;15.54;Canadine;C20H21NO4
302;297.05559;15.6;Imazalil;C14H14Cl2N2O
186;425.18715;15.61;Clindamycin;C18H33ClN2O5S
319;319.22677;15.61;Isosteviol;C20H30O3
390;233.1107;15.71;N-Cyclohexyl-2-benzothiazol-amine;C13H16N2S
526;308.15242;15.71;Tebuconazole;C16H22ClN3O
525;428.89119;15.79;TDCPP;C9H15Cl6O4P
482;284.14118;15.8;Propisochlor;C15H22ClNO2
481;342.07706;15.82;Propiconazole;C15H17Cl2N3O2
558;327.07807;15.95;TPPA;C18H15O4P
130;749.5158;16.0;Azithromycin;C38H72N2O12
326;343.29552;16.09;Lauramidopropyl betaine;C19H39N2O3+
93;297.24242;16.14;9(10)-Epoxy-12Z-octadecenoic acid;C18H32O3
669;376.038086;16.15;Prochloraz;C15H16Cl3N3O2
56;504.32063;16.4;3,6,9,12,15-Pentaoxaheptacosan-1-ol, hydrogen sulfate;C22H46O9S
557;349.13519;16.4;TPO;C22H21O2P
187;322.0663;16.46;Clopidogrel;C16H16ClNO2S
327;288.25332;16.5;Lauryl diethanolamide;C16H33NO3
521;267.17197;16.53;TBP;C12H27O4P
191;345.1153;16.58;Clotrimazole;C22H17ClN2
233;211.10937;16.63;Di-n-butyl phosphate;C8H19O4P
234;279.15909;16.7;Di-n-butyl phthalate;C16H22O4
336;281.24751;16.7;Linoleic acid;C18H32O2
425;283.26316;16.7;Oleic acid;C18H34O2
571;267.17197;16.74;Tri-iso-butyl phosphate;C12H27O4P
662;306.24276;16.75;2,6-Bis(tert-butyl)-4-(4-morpholinylmethyl)phenol;C19H31NO2
462;149.02332;16.85;Phthalic anhydride;C8H4O3
626;629.36975;16.86;Lopinavir;C37H48N4O5
213;259.19039;16.87;Dibutyl adipate;C14H26O4
285;273.18491;16.9;Galaxolidone;C18H24O2
384;230.24784;16.9;N,N-Dimethyldodecylamine N-oxide;C14H31NO
57;532.35193;17.2;3,6,9,12,15-Pentaoxanonacosan-1-ol, hydrogen sulfate;C24H50O9S
520;399.25062;17.22;TBEP;C18H39O7P
250;226.09749;17.24;Drometrizol;C13H11N3O
138;304.29988;17.4;Benzododecinium;C21H38N+
69;325.22744;17.5;4,4'-Bis-(diethylamino)benzophenone;C21H28N2O
329;274.27406;17.5;Lauryldiethanolamine;C16H35NO2
380;371.32682;17.54;Myristamidopropyl betaine;C21H43N2O3+
202;301.21621;17.65;Dehydroabietic acid;C20H28O2
118;403.23264;17.8;ATBC;C20H34O8
288;355.28429;17.98;Glyceryl linoleate;C21H38O4
340;518.32412;17.99;LPC 18:3;C26H48NO7P
648;298.2741;18.01;Spiroxamine;C18H35NO2
147;332.33118;18.04;Benzyltetradecyldimethylammonium;C23H42N+
198;331.19039;18.18;DCHP;C20H26O4
240;385.15392;18.28;Diphenyl octyl phosphate;C20H27O4P
241;251.04677;18.34;Diphenyl phosphate;C12H11O4P
99;303.23186;18.54;Abietic acid;C20H30O2
284;259.20564;18.6;Galaxolide;C18H26O
554;259.20564;18.6;Tonalid;C18H26O
128;311.16417;18.836;Avobenzone;C20H22O3
421;291.19547;18.85;Octyl methoxycinnamate;C18H26O3
435;300.28971;18.96;Palmidrol;C18H37NO2
108;322.27406;18.96;?lpha-Linolenoyl ethanolamide;C20H35NO2
436;256.26349;19.1;Palmitamide;C16H33NO
627;659.43062;19.14;All-trans-Fucoxanthin;C42H58O6
219;326.37813;19.24;Didecyldimethylammonium;C22H48N+
223;447.34689;19.24;Diisodecyl phthalate;C28H46O4
97;282.27914;19.25;9-Octadecenamide;C18H35NO
199;447.34689;19.7;DDP;C28H46O4
598;172.16959;2.1;1,2,2,6,6-Pentamethylpiperidin-4-ol;C10H21NO
10;89.10732;2.1;1,2-Diamino-2-methylpropane;C4H12N2
80;83.06037;2.16;4-Methyl-1H-pyrazole;C4H6N2
308;794.88847;2.2;Iopamidol;C17H22I3N3O8
579;138.09134;2.2;Tyramine;C8H11NO
13;135.10157;2.24;1,3-Propanediol, 2-ethyl-2-(hydroxymethyl)-;C6H14O3
6;202.18016;2.31;1-(2-Hydroxyethyl)-2,2,6,6-tetramethyl-4-piperidinol;C11H23NO2
360;116.0706;2.37;Methyl 1-aminocyclopropanecarboxylate;C5H9NO2
600;95.06037;2.38;3-Aminopyridine;C5H6N2
599;150.07742;2.38;3-Methyladenine;C6H7N5
403;123.05529;2.42;Nicotinamide;C6H6N2O
601;191.0815;2.49;3-(1H-Benzimidazol-1-yl)propanoic acid;C10H10N2O2
602;110.06004;2.54;3-Hydroxy-2-methylpyridine;C6H7NO
674;123.0916743;2.67;4-Dimethylaminopyridine;C7H10N2
64;96.04439;2.74;3-Hydroxypyridine;C5H5NO
399;192.13829;2.8;N-Ethyl-N-methylcathinone;C12H17NO
303;262.11862;2.81;Imazapyr;C13H15N3O3
564;179.11789;2.86;trans-Nicotine-1'-oxide;C10H14N2O
48;113.10732;2.87;2-Imino-4-methylpiperidine;C6H12N2
603;141.10224;2.96;2-(2-Methyl-1H-imidazol-1-YL)-1-propanol;C7H12N2O
204;222.14885;2.97;Denatonium_TP222;C13H20NO2+
313;548.50427;20.25;Irganox 1076;C35H62O3
153;413.26623;20.41;DEHP;C24H38O4
235;391.28429;20.5;Di-n-octyl phthalate;C24H38O4
628;360.36248;20.58;Cetalkonium;C25H46N+
629;284.33118;20.59;Cetrimonium;C19H42N+
296;371.31559;20.6;Hexanedioic acid, bis(2-ethylhexyl) ester;C22H42O4
17;338.34174;21.3;13-Docosenamide, (Z)-;C22H43NO
312;685.43562;21.9;Irgafos 168 Phosphate;C42H63O4P
247;419.31559;22.0;DNP;C26H42O4
307;777.86138;3.0;Iomeprol;C17H22I3N3O8
407;100.07569;3.0;N-Methyl-2-pyrrolidone;C5H9NO
485;205.13354;3.16;Psilocin;C12H16N2O
120;268.15433;3.2;Atenolol acid;C14H21NO4
604;194.11755;3.2;N-Benzylglycine ethyl ester;C11H15NO2
459;150.12773;3.26;Phentermine;C10H15N
605;150.12772;3.27;Benzyltrimethylammonium;C10H16N+
173;160.02722;3.38;Chloridazon-desphenyl-methyl;C5H6ClN3O
607;124.08692;3.4;2,5-Dimethylpyrimidin-4-amine;C6H9N3
195;100.11208;3.4;Cyclohexylamine;C6H13N
458;150.12773;3.4;Phenpromethamine;C10H15N
356;86.06004;3.46;Methacrylamide;C4H7NO
608;164.05285;3.47;2,5-Dimethylbenzothiazole;C9H9NS
101;152.0706;3.5;Acetaminophen;C8H9NO2
591;268.10403;3.5;Adenosine;C10H13N5O4
158;205.13354;3.5;Bufotenin;C12H16N2O
606;109.07602;3.55;4-Amino-3-methylpyridine;C6H8N2
539;195.1227;3.55;Tetraethylene glycol;C8H18O5
24;142.03211;3.6;2-(Methylsulfinyl)pyridine;C6H7NOS
542;181.072;3.6;Theobromine;C7H8N4O2
408;114.12773;3.64;N-Methylcyclohexanamine;C7H15N
457;110.06004;3.69;Phenol, o-amino-;C6H7NO
62;193.09715;3.7;3-Hydroxycotinine;C10H12N2O2
126;170.10364;3.76;Atrazine-desethyl-2-OH;C6H11N5O
282;172.1332;3.8;Gabapentin;C9H17NO2
492;174.05495;3.87;Quinaldic acid;C10H7NO2
8;128.11822;3.97;1-(3-Methylbut-2-en-1-yl)guanidine;C6H13N3
222;135.10157;4.03;Diglyme;C6H14O3
259;165.11214;4.07;Ethanol, 2-[2-(2-methoxyethoxy)ethoxy]-;C7H16O4
119;267.17032;4.1;Atenolol;C14H22N2O3
309;791.87708;4.15;Iopromide;C18H24I3N3O8
515;254.05939;4.22;Sulfamethoxazole;C10H11N3O3S
85;110.06004;4.26;5-Hydroxy-2-methylpyridine;C6H7NO
610;206.11755;4.33;6,7-Dimethoxy-1-methyl-3,4-dihydroisoquinoline;C12H15NO2
331;171.1128;4.34;Levetiracetam;C8H14N2O2
611;181.072;4.44;Paraxanthine;C7H8N4O2
396;223.1441;4.5;Neostigmine;C12H19N2O2+
518;342.1482;4.5;Sulpiride;C15H23N3O4S
516;250.06447;4.51;Sulfapyridine;C11H11N3O2S
315;142.15903;4.6;Isometheptene;C9H19N
543;181.072;4.6;Theophylline;C7H8N4O2
148;192.17467;4.64;Benzyltriethylammonium;C13H22N+
162;114.09134;4.7;Caprolactam;C6H11NO
40;134.07127;4.73;2-Aminobenzimidazole;C7H7N3
540;209.13835;4.81;Tetraethylene glycol monomethyl ether;C9H20O5
76;146.06004;4.9;4-Hydroxyquinoline;C9H7NO
141;136.02155;4.96;Benzothiazole;C7H5NS
488;207.03197;5.05;Pyridafol;C10H7ClN2O
552;279.17032;5.07;Tolycaine;C15H22N2O3
668;222.0316322;5.1;Quinmerac;C11H8ClNO2
548;345.14787;5.1;Tiapride-N-oxide;C15H24N2O5S
453;225.06585;5.11;Phenanzine-1-carboxylic acid;C13H8N2O2
189;191.99775;5.12;Clopidol;C7H7Cl2NO
193;177.10224;5.14;Cotinine;C10H12N2O
547;329.15295;5.14;Tiapride;C15H24N2O4S
372;246.10093;5.24;Metoxuron;C10H13ClN2O2
281;180.1019;5.29;Fusaric acid;C10H13NO2
563;358.2085;5.35;trans-Epoxysuccinyl-L-leucylamido(4-guanidino)butane;C15H27N5O5
75;232.10805;5.4;4-Formylaminoantipyrine;C12H13N3O2
88;182.04949;5.41;6-(Methylthio)guanine;C6H7N5S
42;124.07569;5.49;2-Amino-m-cresol;C7H9NO
663;136.07569;5.5;2-Phenylacetamide;C8H9NO
71;246.1237;5.5;4-Acetamidoantipyrine;C13H15N3O2
486;207.09505;5.55;Pyrantel;C11H14N2S
402;163.12297;5.57;Nicotin;C10H14N2
133;189.9821;5.58;BAM;C7H5Cl2NO
400;177.10224;5.6;N-Formylnornicotine;C10H12N2O
474;237.15975;5.7;Procaine;C13H20N2O2
160;195.08765;5.75;Caffeine;C8H10N4O2
111;370.04857;5.78;Amidosulfuron;C9H15N5O7S2
401;411.10813;5.8;Nicosulfuron;C15H18N6O6S
514;279.09102;5.8;Sulfamethazine;C12H14N4O2S
231;138.09134;5.87;Dimethyl-4-aminophenol;C8H11NO
654;130.15903;5.9;Octodrine;C8H19N
358;150.12773;6.01;Methamphetamine;C10H15N
142;120.05562;6.05;Benzotriazole;C6H5N3
424;250.18016;6.1;O-Desmethyltramadol;C15H23NO2
465;215.12779;6.16;Piliformic acid;C11H18O4
473;226.14377;6.2;Prenalterol;C12H19NO3
127;174.0541;6.23;Atrazine-desisopropyl;C5H8ClN5
21;164.09307;6.27;1H-Purin-6-amine, N,N-dimethyl-;C7H9N5
49;193.13354;6.4;2-MeOPP;C11H16N2O
660;139.11174;6.4;Isophorone;C9H14O
354;274.11862;6.4;Metazachlor OA;C14H15N3O3
113;370.1795;6.42;Amisulpride;C17H27N3O4S
656;115.07536;6.45;Caprolactone;C6H10O2
612;146.15394;6.47;Heptaminol;C8H19NO
511;419.00377;6.49;Sucralose;C12H19Cl3O8
613;160.08692;6.57;2-(1H-Pyrazol-1-yl)aniline;C9H9N3
646;290.1387;6.57;Benzoylecgonine;C16H19NO4
576;193.14344;6.57;Tripropylene glycol;C9H20O4
585;304.20195;6.59;Vildagliptin;C17H25N3O2
66;209.1033;6.61;3-Methyl-7-propylxanthine;C9H12N4O2
537;184.11929;6.63;Terbutylazine-desethyl-2-hydroxy;C7H13N5O
549;340.25947;6.75;Tinuvin 440;C25H45N3O3
304;256.05958;6.85;Imidacloprid;C9H10ClN5O2
477;258.07946;6.85;Propachlor ESA;C11H15NO4S
541;223.154;6.87;Tetraglyme;C10H22O5
614;338.14992;6.87;Zolpidem Carboxylic Acid;C19H19N3O3
176;358.03713;6.9;Chlorsulfuron;C12H12ClN5O4S
353;324.10125;6.91;Metazachlor ESA;C14H17N3O4S
454;189.10224;6.92;Phenazone;C11H12N2O
12;212.11822;7.0;DPG;C13H13N3
300;184.11929;7.07;Hydroxysimazine;C7H13N5O
268;165.10224;7.13;Fenuron;C9H12N2O
513;311.08085;7.16;Sulfadimethoxine;C12H14N4O4S
227;252.12303;7.2;Dimethachlor OA;C13H17NO4
161;441.16696;7.3;Candesartan;C24H20N6O3
72;204.11314;7.39;4-Aminoantipyrine;C11H13N3O
364;300.14733;7.4;Metoclopramide;C14H22ClN3O2
572;267.17032;7.5;Trimetazidine;C14H22N2O3
423;264.19581;7.61;O-desmethylvenlafaxine;C16H25NO2
573;291.14517;7.64;Trimethoprim;C14H18N4O3
305;146.06004;7.68;Indole-3-carboxyaldehyde;C9H7NO
385;250.18016;7.68;N,O-Didesmethylvenlafaxine;C15H23NO2
244;264.13427;7.7;Dixoaminopyrine;C13H17N3O3
318;146.06004;7.7;Isoquinolone;C9H7NO
657;119.06375;7.7;Propylthiourea;C4H10N2S
171;222.04287;7.71;Chloridazon;C10H8ClN3O
225;302.10567;7.76;Dimetachlor ESA;C13H19NO5S
109;152.14338;7.8;Amantadine;C10H17N
272;307.11134;7.89;Fluconazole;C13H12F2N6O
253;425.15295;7.95;Eprosartan;C23H24N2O4S
359;264.08424;7.97;Methocarbamol;C11H15NO5
615;200.23728;7.98;Tributylmethylammonium;C13H30N+
92;168.04199;8.02;8-Hydroxychinolin;C9H7NO
39;138.09134;8.05;2-Amino-1-phenylethanol;C8H11NO
661;179.07027;8.1;4-Hydroxy-3-methoxycinnamaldehyde;C10H10O3
295;180.12603;8.12;Hexamethylphosphoramide;C6H18N3OP
338;197.11722;8.14;Loliolide;C11H16O3
371;268.19072;8.23;Metoprolol;C15H25NO3
79;133.07602;8.3;4-Methyl-1H-benzimidazole;C8H8N2
125;188.06975;8.3;Atrazine-desethyl;C6H10ClN5
410;218.12879;8.3;Noramidopyrine;C12H15N3O
324;256.01513;8.32;Lamotrigine;C9H7Cl2N5
50;165.0481;8.43;2-Mercaptomethylbenzimidazole;C8H8N2S
165;192.07675;8.48;Carbendazim;C9H9N3O2
440;279.14517;8.5;Pentoxifylline;C13H18N4O3
545;253.03092;8.5;Thiacloprid;C10H9ClN4S
559;264.19581;8.53;Tramadol;C16H25NO2
658;152.0706;8.55;Methyl anthranilate;C8H9NO2
553;134.07127;8.55;Tolytriazole;C7H7N3
560;280.19072;8.55;Tramadol-N-oxide;C16H25NO3
419;287.13964;8.6;Octamethylpyrophosphoramide;C8H24N4O3P2
60;145.07602;8.65;3-Aminoquinoline;C9H8N2
63;251.1754;8.7;3-Hydroxylidocaine;C14H22N2O2
218;182.19033;8.7;Dicyclohexylamine;C12H23N
334;251.1754;8.7;Lidocaine-N-Oxide;C14H22N2O2
460;167.08316;8.7;Phosphonic acid, ethyl-, diethyl ester;C6H15O3P
350;266.13868;8.71;Metalaxyl (free acid);C14H19NO4
301;261.0321;8.8;Ifosfamide;C7H15Cl2N2O2P
519;222.18524;8.9;Tapentadol;C14H23NO
567;207.15909;8.94;Tri(propylene glycol) methyl ether;C10H22O4
456;257.16484;9.0;Pheniramine-N-oxide;C16H20N2O
14;271.10772;9.04;10,11-trans-Dihydroxy-10,11-dihydrocarbamazepine;C15H14N2O3
455;241.16992;9.05;Pheniramine;C16H20N2
112;232.14444;9.1;Aminopyrine;C13H17N3O
164;253.09715;9.1;Carbamazepine 10,11-epoxide;C15H12N2O2
124;198.13494;9.14;Atrazine-2-hydroxy;C8H15N5O
167;380.25438;9.17;Celiprolol;C20H33N3O4
196;261.0321;9.3;Cyclophosphamide;C7H15Cl2N2O2P
529;183.07807;9.35;TEP;C6H15O4P
256;163.13287;9.36;Ethanol, 2-(2-butoxyethoxy)-;C8H18O3
507;408.12536;9.4;Sitagliptin;C16H15F6N5O
46;152.01646;9.45;2-Hydroxybenzothiazole;C7H5NOS
23;228.13829;9.5;2-(Benzylamino)-1-phenylethanol;C15H17NO
15;255.1128;9.55;10-Hydroxycarbazepine;C15H14N2O2
61;171.14919;9.63;3-Cyclohexyl-1,1-dimethylurea;C9H18N2O
544;202.04334;9.63;Thiabendazol;C10H7N3S
47;253.09715;9.66;2-hydroxycarbamazepine;C15H12N2O2
84;267.15909;9.66;5,8-Dihydroxy-1,5,8-trimethyl-4,5a,6,7,8a,9-hexahydro-3aH-azuleno[6,5-b]furan-2-one;C15H22O4
616;176.10699;9.78;5-Benzylpyrrolidin-2-one;C11H13NO
149;336.12303;9.8;Berberine;C20H18NO4+
323;255.10157;9.8;Ketoprofen;C16H14O3
578;392.22202;9.8;Trospium;C25H30ClNO3
431;279.13393;9.9;Oxadixyl;C14H18N2O4
